model,algorithm,acc_mean,acc_std,partial_score_mean,compile_error_rate,runtime_error_rate
gpt-3.5-turbo,agentic,0.0,0.0,9.815000000000001,0.9444444444444444,0.05555555555555555
gpt-3.5-turbo,cot_s,0.0,0.0,12.381111111111112,0.9444444444444444,0.05555555555555555
gpt-3.5-turbo,cot_s2,0.0,0.0,14.444444444444445,0.9444444444444444,0.05555555555555555
gpt-3.5-turbo,cot_s_instructions,0.0,0.0,13.878888888888888,1.0,0.0
gpt-3.5-turbo,standard_s,0.0,0.0,3.1750000000000003,1.0,0.0
gpt-3.5-turbo-16k,agentic,0.0,0.0,13.148333333333333,1.0,0.0
gpt-3.5-turbo-16k,cot_s,0.0,0.0,14.920555555555556,1.0,0.0
gpt-3.5-turbo-16k,cot_s2,0.0,0.0,16.825555555555557,1.0,0.0
gpt-3.5-turbo-16k,cot_s_instructions,0.0,0.0,14.364444444444445,1.0,0.0
gpt-3.5-turbo-16k,standard_s,0.0,0.0,7.522222222222222,1.0,0.0
gpt-4,agentic,0.0,0.0,15.140555555555554,0.9444444444444444,0.05555555555555555
gpt-4,cot_s,0.0,0.0,14.61111111111111,1.0,0.0
gpt-4,cot_s2,0.0,0.0,13.157222222222222,0.9444444444444444,0.05555555555555555
gpt-4,cot_s_instructions,0.0,0.0,11.163888888888888,0.9444444444444444,0.05555555555555555
gpt-4,standard_s,0.0,0.0,3.3600000000000003,1.0,0.0
gpt-4-turbo,agentic,0.0,0.0,27.81277777777778,0.9444444444444444,0.05555555555555555
gpt-4-turbo,cot_s,0.0,0.0,20.537222222222223,0.9444444444444444,0.05555555555555555
gpt-4-turbo,cot_s2,0.0,0.0,23.00611111111111,0.9444444444444444,0.05555555555555555
gpt-4-turbo,cot_s_instructions,0.0,0.0,25.008888888888887,0.9444444444444444,0.05555555555555555
gpt-4-turbo,standard_s,0.0,0.0,1.8522222222222224,1.0,0.0
