problem,algorithm,model,run,accuracy,partial_score,percent_extra,percent_match_vars,percent_match_constraints,percent_match_objective,compile_error,runtime_error
biweekly_fleet_size_planning_2,agentic,gpt-3.5-turbo-16k,run1,0.0,21.05,42.86,33.33,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning_2,agentic,gpt-3.5-turbo,run1,0.0,31.58,53.85,55.56,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning_2,agentic,gpt-4-turbo,run1,0.0,47.37,25.0,66.67,33.33,0.0,100.0,0.0
biweekly_fleet_size_planning_2,agentic,gpt-4,run1,0.0,26.32,50.0,44.44,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning_2,cot_s2,gpt-3.5-turbo-16k,run1,0.0,21.05,42.86,33.33,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning_2,cot_s2,gpt-3.5-turbo,run1,0.0,15.79,66.67,33.33,0.0,0.0,0.0,100.0
biweekly_fleet_size_planning_2,cot_s2,gpt-4-turbo,run1,0.0,42.11,11.11,55.56,33.33,0.0,100.0,0.0
biweekly_fleet_size_planning_2,cot_s2,gpt-4,run1,0.0,15.79,62.5,22.22,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning_2,cot_s_instructions,gpt-3.5-turbo-16k,run1,0.0,10.53,60.0,22.22,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning_2,cot_s_instructions,gpt-3.5-turbo,run1,0.0,10.53,60.0,22.22,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning_2,cot_s_instructions,gpt-4-turbo,run1,0.0,26.32,37.5,33.33,22.22,0.0,100.0,0.0
biweekly_fleet_size_planning_2,cot_s_instructions,gpt-4,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning_2,cot_s,gpt-3.5-turbo-16k,run1,0.0,15.79,25.0,33.33,0.0,0.0,0.0,100.0
biweekly_fleet_size_planning_2,cot_s,gpt-3.5-turbo,run1,0.0,15.79,25.0,33.33,0.0,0.0,0.0,100.0
biweekly_fleet_size_planning_2,cot_s,gpt-4-turbo,run1,0.0,21.05,42.86,33.33,11.11,0.0,100.0,0.0
biweekly_fleet_size_planning_2,cot_s,gpt-4,run1,0.0,15.79,50.0,22.22,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning_2,standard_s,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning_2,standard_s,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning_2,standard_s,gpt-4-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning_2,standard_s,gpt-4,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning,agentic,gpt-3.5-turbo-16k,run1,0.0,15.79,62.5,22.22,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning,agentic,gpt-3.5-turbo,run1,0.0,15.79,57.14,33.33,0.0,0.0,0.0,100.0
biweekly_fleet_size_planning,agentic,gpt-4-turbo,run1,0.0,47.37,25.0,66.67,33.33,0.0,0.0,100.0
biweekly_fleet_size_planning,agentic,gpt-4,run1,0.0,15.79,62.5,22.22,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning,cot_s2,gpt-3.5-turbo-16k,run1,0.0,21.05,33.33,33.33,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning,cot_s2,gpt-3.5-turbo,run1,0.0,21.05,42.86,33.33,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning,cot_s2,gpt-4-turbo,run1,0.0,42.11,11.11,55.56,33.33,0.0,0.0,100.0
biweekly_fleet_size_planning,cot_s2,gpt-4,run1,0.0,15.79,50.0,22.22,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning,cot_s_instructions,gpt-3.5-turbo-16k,run1,0.0,15.79,25.0,33.33,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning,cot_s_instructions,gpt-3.5-turbo,run1,0.0,15.79,40.0,22.22,11.11,0.0,100.0,0.0
biweekly_fleet_size_planning,cot_s_instructions,gpt-4-turbo,run1,0.0,26.32,28.57,33.33,22.22,0.0,100.0,0.0
biweekly_fleet_size_planning,cot_s_instructions,gpt-4,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning,cot_s,gpt-3.5-turbo-16k,run1,0.0,21.05,50.0,33.33,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning,cot_s,gpt-3.5-turbo,run1,0.0,31.58,40.0,33.33,33.33,0.0,0.0,100.0
biweekly_fleet_size_planning,cot_s,gpt-4-turbo,run1,0.0,42.11,11.11,55.56,33.33,0.0,0.0,100.0
biweekly_fleet_size_planning,cot_s,gpt-4,run1,0.0,15.79,50.0,22.22,11.11,0.0,0.0,100.0
biweekly_fleet_size_planning,standard_s,gpt-3.5-turbo-16k,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning,standard_s,gpt-3.5-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning,standard_s,gpt-4-turbo,run1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
biweekly_fleet_size_planning,standard_s,gpt-4,run1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
